2026-02-20 14:17:20,249 - Score=20, Gaze=Looking Right, Audio=Silent, Objects=[], HeadPose=Straight
2026-02-20 14:17:20,316 - Score=20, Gaze=Looking Right, Audio=Silent, Objects=[], HeadPose=Straight
2026-02-20 14:17:20,349 - Score=20, Gaze=Looking Right, Audio=Silent, Objects=[], HeadPose=Straight
2026-02-20 14:17:20,383 - Score=20, Gaze=Looking Right, Audio=Silent, Objects=[], HeadPose=Straight
2026-02-20 14:17:23,261 - Score=20, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Straight
2026-02-20 14:17:23,302 - Score=20, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Straight
2026-02-20 14:17:23,325 - Score=20, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Straight
2026-02-20 14:17:23,399 - Score=20, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Straight
2026-02-20 14:17:23,449 - Score=20, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Straight
2026-02-20 14:17:25,397 - Score=20, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Straight
2026-02-20 14:17:25,417 - Score=20, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Straight
2026-02-20 14:17:25,461 - Score=20, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Straight
2026-02-20 14:17:25,492 - Score=20, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Straight
2026-02-20 14:17:25,525 - Score=20, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Straight
2026-02-20 14:17:27,461 - Score=20, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Straight
2026-02-20 14:17:27,496 - Score=20, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Straight
2026-02-20 14:17:27,518 - Score=20, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Straight
2026-02-20 14:17:27,561 - Score=20, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Straight
2026-02-20 14:17:27,600 - Score=20, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Straight
2026-02-20 14:17:29,557 - Score=20, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Straight
2026-02-20 14:17:29,597 - Score=40, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Looking Down
2026-02-20 14:17:29,649 - Score=40, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Looking Down
2026-02-20 14:17:29,719 - Score=40, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Looking Down
2026-02-20 14:17:29,771 - Score=40, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Looking Down
2026-02-20 14:17:31,690 - Score=40, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Looking Down
2026-02-20 14:17:31,746 - Score=40, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Looking Down
2026-02-20 14:17:31,817 - Score=20, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Straight
2026-02-20 14:17:31,851 - Score=20, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Straight
2026-02-20 14:17:31,915 - Score=20, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Straight
2026-02-20 14:17:33,810 - Score=20, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Straight
2026-02-20 14:17:33,861 - Score=20, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Straight
2026-02-20 14:17:33,897 - Score=20, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Straight
2026-02-20 14:17:33,946 - Score=20, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Straight
2026-02-20 14:17:33,996 - Score=20, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Straight
2026-02-20 14:17:35,896 - Score=20, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Straight
2026-02-20 14:17:35,946 - Score=20, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Straight
2026-02-20 14:17:35,994 - Score=20, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Straight
2026-02-20 14:17:36,038 - Score=20, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Straight
2026-02-20 14:17:36,114 - Score=20, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Straight
2026-02-20 14:17:38,083 - Score=20, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Straight
2026-02-20 14:17:38,139 - Score=40, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Looking Right
2026-02-20 14:17:38,222 - Score=40, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Looking Right
2026-02-20 14:17:38,249 - Score=40, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Looking Right
2026-02-20 14:17:38,282 - Score=40, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Looking Right
2026-02-20 14:17:40,228 - Score=40, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Looking Right
2026-02-20 14:17:40,270 - Score=40, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Looking Right
2026-02-20 14:17:40,323 - Score=40, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Looking Right
